rater_id,case_id,rank_1,rank_2,rank_3,rank_4,rationale
Expert_1,HRC_CRISPR,Option A,Option C,Option B,Option D,Mock rationale from Expert_1 for HRC_CRISPR. I believe Option A is the most viable path forward based on current evidence.
Expert_2,HRC_CRISPR,Option C,Option A,Option B,Option D,Mock rationale from Expert_2 for HRC_CRISPR. I believe Option C is the most viable path forward based on current evidence.
Expert_3,HRC_CRISPR,Option A,Option C,Option D,Option B,Mock rationale from Expert_3 for HRC_CRISPR. I believe Option A is the most viable path forward based on current evidence.
Expert_4,HRC_CRISPR,Option A,Option B,Option D,Option C,Mock rationale from Expert_4 for HRC_CRISPR. I believe Option A is the most viable path forward based on current evidence.
Expert_5,HRC_CRISPR,Option A,Option D,Option B,Option C,Mock rationale from Expert_5 for HRC_CRISPR. I believe Option A is the most viable path forward based on current evidence.
Expert_1,HRC_PLATE_TECTONICS,Option A,Option B,Option D,Option C,Mock rationale from Expert_1 for HRC_PLATE_TECTONICS. I believe Option A is the most viable path forward based on current evidence.
Expert_2,HRC_PLATE_TECTONICS,Option D,Option A,Option C,Option B,Mock rationale from Expert_2 for HRC_PLATE_TECTONICS. I believe Option D is the most viable path forward based on current evidence.
Expert_3,HRC_PLATE_TECTONICS,Option D,Option B,Option C,Option A,Mock rationale from Expert_3 for HRC_PLATE_TECTONICS. I believe Option D is the most viable path forward based on current evidence.
Expert_4,HRC_PLATE_TECTONICS,Option C,Option D,Option A,Option B,Mock rationale from Expert_4 for HRC_PLATE_TECTONICS. I believe Option C is the most viable path forward based on current evidence.
Expert_5,HRC_PLATE_TECTONICS,Option D,Option A,Option C,Option B,Mock rationale from Expert_5 for HRC_PLATE_TECTONICS. I believe Option D is the most viable path forward based on current evidence.
Expert_1,HRC_H_PYLORI,Option D,Option A,Option B,Option C,Mock rationale from Expert_1 for HRC_H_PYLORI. I believe Option D is the most viable path forward based on current evidence.
Expert_2,HRC_H_PYLORI,Option A,Option D,Option C,Option B,Mock rationale from Expert_2 for HRC_H_PYLORI. I believe Option A is the most viable path forward based on current evidence.
Expert_3,HRC_H_PYLORI,Option A,Option C,Option B,Option D,Mock rationale from Expert_3 for HRC_H_PYLORI. I believe Option A is the most viable path forward based on current evidence.
Expert_4,HRC_H_PYLORI,Option A,Option C,Option D,Option B,Mock rationale from Expert_4 for HRC_H_PYLORI. I believe Option A is the most viable path forward based on current evidence.
Expert_5,HRC_H_PYLORI,Option A,Option D,Option C,Option B,Mock rationale from Expert_5 for HRC_H_PYLORI. I believe Option A is the most viable path forward based on current evidence.
Expert_1,HRC_PRIONS,Option A,Option B,Option D,Option C,Mock rationale from Expert_1 for HRC_PRIONS. I believe Option A is the most viable path forward based on current evidence.
Expert_2,HRC_PRIONS,Option C,Option B,Option A,Option D,Mock rationale from Expert_2 for HRC_PRIONS. I believe Option C is the most viable path forward based on current evidence.
Expert_3,HRC_PRIONS,Option A,Option B,Option D,Option C,Mock rationale from Expert_3 for HRC_PRIONS. I believe Option A is the most viable path forward based on current evidence.
Expert_4,HRC_PRIONS,Option A,Option D,Option C,Option B,Mock rationale from Expert_4 for HRC_PRIONS. I believe Option A is the most viable path forward based on current evidence.
Expert_5,HRC_PRIONS,Option D,Option C,Option B,Option A,Mock rationale from Expert_5 for HRC_PRIONS. I believe Option D is the most viable path forward based on current evidence.
Expert_1,HRC_QUASICRYSTALS,Option D,Option A,Option B,Option C,Mock rationale from Expert_1 for HRC_QUASICRYSTALS. I believe Option D is the most viable path forward based on current evidence.
Expert_2,HRC_QUASICRYSTALS,Option A,Option D,Option B,Option C,Mock rationale from Expert_2 for HRC_QUASICRYSTALS. I believe Option A is the most viable path forward based on current evidence.
Expert_3,HRC_QUASICRYSTALS,Option C,Option D,Option B,Option A,Mock rationale from Expert_3 for HRC_QUASICRYSTALS. I believe Option C is the most viable path forward based on current evidence.
Expert_4,HRC_QUASICRYSTALS,Option B,Option C,Option A,Option D,Mock rationale from Expert_4 for HRC_QUASICRYSTALS. I believe Option B is the most viable path forward based on current evidence.
Expert_5,HRC_QUASICRYSTALS,Option C,Option D,Option B,Option A,Mock rationale from Expert_5 for HRC_QUASICRYSTALS. I believe Option C is the most viable path forward based on current evidence.
Expert_1,HRC_HT_SUPERCONDUCTORS,Option A,Option D,Option B,Option C,Mock rationale from Expert_1 for HRC_HT_SUPERCONDUCTORS. I believe Option A is the most viable path forward based on current evidence.
Expert_2,HRC_HT_SUPERCONDUCTORS,Option B,Option D,Option C,Option A,Mock rationale from Expert_2 for HRC_HT_SUPERCONDUCTORS. I believe Option B is the most viable path forward based on current evidence.
Expert_3,HRC_HT_SUPERCONDUCTORS,Option D,Option A,Option B,Option C,Mock rationale from Expert_3 for HRC_HT_SUPERCONDUCTORS. I believe Option D is the most viable path forward based on current evidence.
Expert_4,HRC_HT_SUPERCONDUCTORS,Option D,Option B,Option A,Option C,Mock rationale from Expert_4 for HRC_HT_SUPERCONDUCTORS. I believe Option D is the most viable path forward based on current evidence.
Expert_5,HRC_HT_SUPERCONDUCTORS,Option B,Option C,Option D,Option A,Mock rationale from Expert_5 for HRC_HT_SUPERCONDUCTORS. I believe Option B is the most viable path forward based on current evidence.
Expert_1,HRC_RNAI,Option A,Option C,Option D,Option B,Mock rationale from Expert_1 for HRC_RNAI. I believe Option A is the most viable path forward based on current evidence.
Expert_2,HRC_RNAI,Option D,Option B,Option C,Option A,Mock rationale from Expert_2 for HRC_RNAI. I believe Option D is the most viable path forward based on current evidence.
Expert_3,HRC_RNAI,Option B,Option A,Option C,Option D,Mock rationale from Expert_3 for HRC_RNAI. I believe Option B is the most viable path forward based on current evidence.
Expert_4,HRC_RNAI,Option C,Option B,Option D,Option A,Mock rationale from Expert_4 for HRC_RNAI. I believe Option C is the most viable path forward based on current evidence.
Expert_5,HRC_RNAI,Option C,Option A,Option D,Option B,Mock rationale from Expert_5 for HRC_RNAI. I believe Option C is the most viable path forward based on current evidence.
Expert_1,HRC_MRNA_LNP,Option B,Option C,Option A,Option D,Mock rationale from Expert_1 for HRC_MRNA_LNP. I believe Option B is the most viable path forward based on current evidence.
Expert_2,HRC_MRNA_LNP,Option B,Option C,Option D,Option A,Mock rationale from Expert_2 for HRC_MRNA_LNP. I believe Option B is the most viable path forward based on current evidence.
Expert_3,HRC_MRNA_LNP,Option B,Option D,Option C,Option A,Mock rationale from Expert_3 for HRC_MRNA_LNP. I believe Option B is the most viable path forward based on current evidence.
Expert_4,HRC_MRNA_LNP,Option A,Option D,Option B,Option C,Mock rationale from Expert_4 for HRC_MRNA_LNP. I believe Option A is the most viable path forward based on current evidence.
Expert_5,HRC_MRNA_LNP,Option D,Option C,Option B,Option A,Mock rationale from Expert_5 for HRC_MRNA_LNP. I believe Option D is the most viable path forward based on current evidence.
Expert_1,HRC_HELICASE,Option A,Option D,Option C,Option B,Mock rationale from Expert_1 for HRC_HELICASE. I believe Option A is the most viable path forward based on current evidence.
Expert_2,HRC_HELICASE,Option B,Option A,Option D,Option C,Mock rationale from Expert_2 for HRC_HELICASE. I believe Option B is the most viable path forward based on current evidence.
Expert_3,HRC_HELICASE,Option B,Option A,Option D,Option C,Mock rationale from Expert_3 for HRC_HELICASE. I believe Option B is the most viable path forward based on current evidence.
Expert_4,HRC_HELICASE,Option A,Option B,Option C,Option D,Mock rationale from Expert_4 for HRC_HELICASE. I believe Option A is the most viable path forward based on current evidence.
Expert_5,HRC_HELICASE,Option A,Option B,Option C,Option D,Mock rationale from Expert_5 for HRC_HELICASE. I believe Option A is the most viable path forward based on current evidence.
Expert_1,HRC_GRAVITATIONAL_WAVES,Option A,Option D,Option C,Option B,Mock rationale from Expert_1 for HRC_GRAVITATIONAL_WAVES. I believe Option A is the most viable path forward based on current evidence.
Expert_2,HRC_GRAVITATIONAL_WAVES,Option A,Option D,Option B,Option C,Mock rationale from Expert_2 for HRC_GRAVITATIONAL_WAVES. I believe Option A is the most viable path forward based on current evidence.
Expert_3,HRC_GRAVITATIONAL_WAVES,Option A,Option D,Option B,Option C,Mock rationale from Expert_3 for HRC_GRAVITATIONAL_WAVES. I believe Option A is the most viable path forward based on current evidence.
Expert_4,HRC_GRAVITATIONAL_WAVES,Option B,Option D,Option C,Option A,Mock rationale from Expert_4 for HRC_GRAVITATIONAL_WAVES. I believe Option B is the most viable path forward based on current evidence.
Expert_5,HRC_GRAVITATIONAL_WAVES,Option A,Option B,Option D,Option C,Mock rationale from Expert_5 for HRC_GRAVITATIONAL_WAVES. I believe Option A is the most viable path forward based on current evidence.
